[2020-06-16 10:04:30.489] 
[2020-06-16 10:04:30.504] Dbg> 
[2020-06-16 10:04:30.520] code 1003
[2020-06-16 10:04:30.536] 
[2020-06-16 10:04:30.520] EngVersion 1.10:04  Machine Metis-MF3z DOM
[2020-06-16 10:04:30.832] spw 1 003 001 0
[2020-06-16 10:04:30.832] spw 1 003 002 0
[2020-06-16 10:04:30.832] spw 1 003 003 0
[2020-06-16 10:04:30.848] spw 1 003 004 -35
[2020-06-16 10:04:30.848] spw 1 003 005 0
[2020-06-16 10:04:30.848] spw 1 003 006 0
[2020-06-16 10:04:30.848] spw 1 003 007 0
[2020-06-16 10:04:30.848] spw 1 003 008 -35
[2020-06-16 10:04:30.848] spw 1 003 009 0
[2020-06-16 10:04:30.864] spw 1 003 010 0
[2020-06-16 10:04:30.864] spw 1 003 011 0
[2020-06-16 10:04:30.864] spw 1 003 012 -30
[2020-06-16 10:04:30.895] spw 1 003 013 -15
[2020-06-16 10:04:30.895] spw 1 003 014 -15
[2020-06-16 10:04:30.895] spw 1 003 015 -15
[2020-06-16 10:04:30.895] spw 1 003 016 -35
[2020-06-16 10:04:30.895] spw 1 003 017 0
[2020-06-16 10:04:30.895] spw 1 003 018 0
[2020-06-16 10:04:30.910] spw 1 003 019 0
[2020-06-16 10:04:30.910] spw 1 003 020 -35
[2020-06-16 10:04:30.910] spw 1 003 021 0
[2020-06-16 10:04:30.926] spw 1 003 022 0
[2020-06-16 10:04:30.926] spw 1 003 023 0
[2020-06-16 10:04:30.957] spw 1 003 024 -35
[2020-06-16 10:04:30.957] spw 1 003 025 0
[2020-06-16 10:04:30.957] spw 1 003 026 0
[2020-06-16 10:04:30.957] spw 1 003 027 0
[2020-06-16 10:04:30.957] spw 1 003 028 -30
[2020-06-16 10:04:30.957] spw 1 003 029 -15
[2020-06-16 10:04:30.973] spw 1 003 030 -15
[2020-06-16 10:04:30.973] spw 1 003 031 -15
[2020-06-16 10:04:30.973] spw 1 003 032 -35
[2020-06-16 10:04:31.004] spw 1 007 001 0
[2020-06-16 10:04:31.004] spw 1 007 002 2
[2020-06-16 10:04:31.004] spw 1 008 005 100
[2020-06-16 10:04:31.004] spw 1 008 006 200
[2020-06-16 10:04:31.004] spw 1 008 033 0
[2020-06-16 10:04:31.004] spw 1 008 038 715
[2020-06-16 10:04:31.020] spw 1 008 039 8303
[2020-06-16 10:04:31.020] spw 1 008 040 200
[2020-06-16 10:04:31.020] spw 1 009 001 0
[2020-06-16 10:04:31.035] spw 1 009 002 1
[2020-06-16 10:04:31.035] spw 1 009 003 0
[2020-06-16 10:04:31.051] spw 1 009 004 0
[2020-06-16 10:04:31.051] spw 1 009 005 0
[2020-06-16 10:04:31.051] spw 1 009 006 0
[2020-06-16 10:04:31.051] spw 1 009 007 0
[2020-06-16 10:04:31.051] spw 1 009 008 0
[2020-06-16 10:04:31.051] spw 1 009 009 0
[2020-06-16 10:04:31.067] spw 1 009 010 0
[2020-06-16 10:04:31.067] spw 1 009 011 0
[2020-06-16 10:04:31.067] spw 1 009 012 0
[2020-06-16 10:04:31.082] spw 1 009 013 0
[2020-06-16 10:04:31.082] spw 1 009 014 0
[2020-06-16 10:04:31.082] spw 1 009 015 0
[2020-06-16 10:04:31.114] spw 1 009 016 0
[2020-06-16 10:04:31.114] spw 1 009 017 0
[2020-06-16 10:04:31.114] spw 1 009 018 1
[2020-06-16 10:04:31.114] spw 1 010 001 1
[2020-06-16 10:04:31.114] spw 1 010 002 1
[2020-06-16 10:04:31.114] spw 1 011 001 0
[2020-06-16 10:04:31.129] spw 1 011 002 0
[2020-06-16 10:04:31.129] spw 1 012 001 0
[2020-06-16 10:04:31.129] spw 1 013 001 0
[2020-06-16 10:04:31.145] spw 1 013 002 0
[2020-06-16 10:04:31.145] spw 1 013 003 0
[2020-06-16 10:04:31.145] spw 1 013 004 0
[2020-06-16 10:04:31.176] spw 1 014 001 1
[2020-06-16 10:04:31.176] spw 1 101 001 0
[2020-06-16 10:04:31.176] spw 1 101 002 114
[2020-06-16 10:04:31.176] spw 1 101 003 120
[2020-06-16 10:04:31.176] spw 1 101 004 23
[2020-06-16 10:04:31.176] spw 1 101 005 200
[2020-06-16 10:04:31.192] spw 1 101 006 110
[2020-06-16 10:04:31.192] spw 1 101 007 150
[2020-06-16 10:04:31.192] spw 1 101 008 6
[2020-06-16 10:04:31.223] spw 1 101 009 200
[2020-06-16 10:04:31.223] spw 1 101 010 110
[2020-06-16 10:04:31.223] spw 1 101 011 150
[2020-06-16 10:04:31.223] spw 1 101 012 6
[2020-06-16 10:04:31.223] spw 1 101 013 200
[2020-06-16 10:04:31.223] spw 1 101 014 110
[2020-06-16 10:04:31.239] spw 1 101 015 150
[2020-06-16 10:04:31.239] spw 1 101 016 38
[2020-06-16 10:04:31.239] spw 1 101 017 200
[2020-06-16 10:04:31.254] spw 1 101 018 110
[2020-06-16 10:04:31.254] spw 1 101 019 150
[2020-06-16 10:04:31.270] spw 1 101 101 114
[2020-06-16 10:04:31.270] spw 1 101 102 120
[2020-06-16 10:04:31.270] spw 1 101 103 34
[2020-06-16 10:04:31.270] spw 1 101 104 200
[2020-06-16 10:04:31.270] spw 1 101 105 100
[2020-06-16 10:04:31.270] spw 1 101 106 300
[2020-06-16 10:04:31.285] spw 1 101 151 6
[2020-06-16 10:04:31.285] spw 1 101 152 200
[2020-06-16 10:04:31.285] spw 1 101 153 70
[2020-06-16 10:04:31.301] spw 1 101 154 350
[2020-06-16 10:04:31.301] spw 1 101 201 26
[2020-06-16 10:04:31.301] spw 1 101 202 200
[2020-06-16 10:04:31.332] spw 1 101 203 110
[2020-06-16 10:04:31.332] spw 1 101 204 150
[2020-06-16 10:04:31.332] spw 1 101 211 26
[2020-06-16 10:04:31.332] spw 1 101 212 200
[2020-06-16 10:04:31.332] spw 1 101 213 110
[2020-06-16 10:04:31.332] spw 1 101 214 150
[2020-06-16 10:04:31.348] spw 1 102 001 33
[2020-06-16 10:04:31.348] spw 1 102 002 200
[2020-06-16 10:04:31.348] spw 1 102 003 40
[2020-06-16 10:04:31.363] spw 1 102 004 200
[2020-06-16 10:04:31.363] spw 1 102 005 95
[2020-06-16 10:04:31.363] spw 1 102 006 65
[2020-06-16 10:04:31.395] spw 1 102 007 5
[2020-06-16 10:04:31.395] spw 1 102 008 200
[2020-06-16 10:04:31.395] spw 1 102 009 30
[2020-06-16 10:04:31.395] spw 1 102 010 200
[2020-06-16 10:04:31.395] spw 1 102 011 45
[2020-06-16 10:04:31.395] spw 1 102 012 65
[2020-06-16 10:04:31.395] spw 1 102 013 5
[2020-06-16 10:04:31.410] spw 1 102 014 200
[2020-06-16 10:04:31.410] spw 1 102 015 15
[2020-06-16 10:04:31.426] spw 1 102 016 200
[2020-06-16 10:04:31.426] spw 1 102 017 100
[2020-06-16 10:04:31.426] spw 1 102 018 65
[2020-06-16 10:04:31.457] spw 1 102 019 60
[2020-06-16 10:04:31.457] spw 1 102 020 40
[2020-06-16 10:04:31.457] spw 1 102 021 200
[2020-06-16 10:04:31.457] spw 1 102 022 30
[2020-06-16 10:04:31.457] spw 1 102 023 200
[2020-06-16 10:04:31.457] spw 1 102 024 43
[2020-06-16 10:04:31.457] spw 1 102 025 200
[2020-06-16 10:04:31.473] spw 1 102 026 65
[2020-06-16 10:04:31.473] spw 1 102 027 5
[2020-06-16 10:04:31.489] spw 1 102 028 200
[2020-06-16 10:04:31.489] spw 1 102 029 30
[2020-06-16 10:04:31.489] spw 1 102 030 200
[2020-06-16 10:04:31.520] spw 1 102 031 34
[2020-06-16 10:04:31.520] spw 1 102 032 200
[2020-06-16 10:04:31.520] spw 1 102 033 65
[2020-06-16 10:04:31.520] spw 1 102 034 5
[2020-06-16 10:04:31.520] spw 1 102 035 200
[2020-06-16 10:04:31.520] spw 1 102 036 15
[2020-06-16 10:04:31.520] spw 1 102 037 200
[2020-06-16 10:04:31.535] spw 1 102 038 45
[2020-06-16 10:04:31.535] spw 1 102 039 200
[2020-06-16 10:04:31.551] spw 1 102 040 65
[2020-06-16 10:04:31.551] spw 1 102 041 1234
[2020-06-16 10:04:31.551] spw 1 102 042 49
[2020-06-16 10:04:31.583] spw 1 102 043 200
[2020-06-16 10:04:31.583] spw 1 102 044 40
[2020-06-16 10:04:31.583] spw 1 102 045 200
[2020-06-16 10:04:31.583] spw 1 102 046 95
[2020-06-16 10:04:31.583] spw 1 102 047 65
[2020-06-16 10:04:31.583] spw 1 102 051 1209
[2020-06-16 10:04:31.598] spw 1 102 052 49
[2020-06-16 10:04:31.598] spw 1 102 053 200
[2020-06-16 10:04:31.598] spw 1 102 054 40
[2020-06-16 10:04:31.614] spw 1 102 055 200
[2020-06-16 10:04:31.614] spw 1 102 056 95
[2020-06-16 10:04:31.614] spw 1 102 057 65
[2020-06-16 10:04:31.629] spw 1 102 060 0
[2020-06-16 10:04:31.629] spw 1 102 061 65
[2020-06-16 10:04:31.629] spw 1 102 062 65
[2020-06-16 10:04:31.629] spw 1 102 070 4000
[2020-06-16 10:04:31.629] spw 1 102 071 4000
[2020-06-16 10:04:31.629] spw 1 102 072 4000
[2020-06-16 10:04:31.645] spw 1 102 073 4000
[2020-06-16 10:04:31.645] spw 1 102 074 4000
[2020-06-16 10:04:31.645] spw 1 102 075 4000
[2020-06-16 10:04:31.676] spw 1 102 076 4000
[2020-06-16 10:04:31.676] spw 1 102 077 4000
[2020-06-16 10:04:31.676] spw 1 102 078 4000
[2020-06-16 10:04:31.676] spw 1 102 080 10000
[2020-06-16 10:04:31.676] spw 1 102 081 10000
[2020-06-16 10:04:31.676] spw 1 102 082 10000
[2020-06-16 10:04:31.692] spw 1 102 083 10000
[2020-06-16 10:04:31.692] spw 1 102 084 10000
[2020-06-16 10:04:31.692] spw 1 102 085 10000
[2020-06-16 10:04:31.707] spw 1 102 101 0
[2020-06-16 10:04:31.707] spw 1 102 102 0
[2020-06-16 10:04:31.707] spw 1 102 103 0
[2020-06-16 10:04:31.739] spw 1 102 104 0
[2020-06-16 10:04:31.739] spw 1 102 105 0
[2020-06-16 10:04:31.739] spw 1 102 106 0
[2020-06-16 10:04:31.739] spw 1 102 107 0
[2020-06-16 10:04:31.739] spw 1 102 108 0
[2020-06-16 10:04:31.739] spw 1 102 109 17
[2020-06-16 10:04:31.754] spw 1 102 110 17
[2020-06-16 10:04:31.754] spw 1 102 111 13
[2020-06-16 10:04:31.770] spw 1 102 112 0
[2020-06-16 10:04:31.770] spw 1 102 113 0
[2020-06-16 10:04:31.770] spw 1 102 114 0
[2020-06-16 10:04:31.801] spw 1 102 121 0
[2020-06-16 10:04:31.801] spw 1 102 122 0
[2020-06-16 10:04:31.801] spw 1 102 123 0
[2020-06-16 10:04:31.801] spw 1 102 124 0
[2020-06-16 10:04:31.801] spw 1 102 125 0
[2020-06-16 10:04:31.801] spw 1 102 126 0
[2020-06-16 10:04:31.801] spw 1 102 127 0
[2020-06-16 10:04:31.816] spw 1 102 128 0
[2020-06-16 10:04:31.816] spw 1 102 129 4000
[2020-06-16 10:04:31.832] spw 1 102 130 4000
[2020-06-16 10:04:31.832] spw 1 102 131 3000
[2020-06-16 10:04:31.832] spw 1 102 132 0
[2020-06-16 10:04:31.832] spw 1 102 133 0
[2020-06-16 10:04:31.832] spw 1 102 134 0
[2020-06-16 10:04:31.832] spw 1 102 151 198
[2020-06-16 10:04:31.848] spw 1 102 152 199
[2020-06-16 10:04:31.848] spw 1 102 153 200
[2020-06-16 10:04:31.848] spw 1 105 001 132
[2020-06-16 10:04:31.863] spw 1 105 002 122
[2020-06-16 10:04:31.863] spw 1 105 003 129
[2020-06-16 10:04:31.863] spw 1 105 004 122
[2020-06-16 10:04:31.895] spw 1 105 005 137
[2020-06-16 10:04:31.895] spw 1 105 006 122
[2020-06-16 10:04:31.895] spw 1 105 007 134
[2020-06-16 10:04:31.895] spw 1 105 008 122
[2020-06-16 10:04:31.895] spw 1 105 009 127
[2020-06-16 10:04:31.910] spw 1 105 010 121
[2020-06-16 10:04:31.910] spw 1 105 011 127
[2020-06-16 10:04:31.910] spw 1 105 012 121
[2020-06-16 10:04:31.942] spw 1 105 013 145
[2020-06-16 10:04:31.942] spw 1 105 014 118
[2020-06-16 10:04:31.942] spw 1 105 015 145
[2020-06-16 10:04:31.942] spw 1 105 016 118
[2020-06-16 10:04:31.942] spw 1 105 017 136
[2020-06-16 10:04:31.942] spw 1 105 018 120
[2020-06-16 10:04:31.957] spw 1 105 019 136
[2020-06-16 10:04:31.957] spw 1 105 020 120
[2020-06-16 10:04:31.957] spw 1 105 021 141
[2020-06-16 10:04:31.973] spw 1 105 022 120
[2020-06-16 10:04:31.973] spw 1 105 023 141
[2020-06-16 10:04:31.973] spw 1 105 024 120
[2020-06-16 10:04:32.004] spw 1 105 025 146
[2020-06-16 10:04:32.004] spw 1 105 026 120
[2020-06-16 10:04:32.004] spw 1 105 027 146
[2020-06-16 10:04:32.004] spw 1 105 028 120
[2020-06-16 10:04:32.004] spw 1 105 029 132
[2020-06-16 10:04:32.020] spw 1 105 030 122
[2020-06-16 10:04:32.020] spw 1 105 031 129
[2020-06-16 10:04:32.020] spw 1 105 032 122
[2020-06-16 10:04:32.036] spw 1 105 033 137
[2020-06-16 10:04:32.036] spw 1 105 034 122
[2020-06-16 10:04:32.036] spw 1 105 035 134
[2020-06-16 10:04:32.036] spw 1 105 036 122
[2020-06-16 10:04:32.036] spw 1 105 037 145
[2020-06-16 10:04:32.036] spw 1 105 038 118
[2020-06-16 10:04:32.051] spw 1 105 039 145
[2020-06-16 10:04:32.051] spw 1 105 040 118
[2020-06-16 10:04:32.051] spw 1 105 041 151
[2020-06-16 10:04:32.066] spw 1 105 042 118
[2020-06-16 10:04:32.066] spw 1 105 051 131
[2020-06-16 10:04:32.066] spw 1 105 052 120
[2020-06-16 10:04:32.098] spw 1 105 053 131
[2020-06-16 10:04:32.098] spw 1 105 054 120
[2020-06-16 10:04:32.098] spw 1 105 055 136
[2020-06-16 10:04:32.098] spw 1 105 056 120
[2020-06-16 10:04:32.098] spw 1 105 057 136
[2020-06-16 10:04:32.113] spw 1 105 058 120
[2020-06-16 10:04:32.113] spw 1 105 059 141
[2020-06-16 10:04:32.113] spw 1 105 060 120
[2020-06-16 10:04:32.145] spw 1 105 061 141
[2020-06-16 10:04:32.145] spw 1 105 062 120
[2020-06-16 10:04:32.145] spw 1 105 101 124
[2020-06-16 10:04:32.145] spw 1 105 102 118
[2020-06-16 10:04:32.145] spw 1 105 103 124
[2020-06-16 10:04:32.145] spw 1 105 104 118
[2020-06-16 10:04:32.160] spw 1 105 105 129
[2020-06-16 10:04:32.160] spw 1 105 106 118
[2020-06-16 10:04:32.160] spw 1 105 107 129
[2020-06-16 10:04:32.176] spw 1 105 108 118
[2020-06-16 10:04:32.176] spw 1 105 109 131
[2020-06-16 10:04:32.176] spw 1 105 110 118
[2020-06-16 10:04:32.191] spw 1 105 111 131
[2020-06-16 10:04:32.191] spw 1 105 112 118
[2020-06-16 10:04:32.191] spw 1 105 113 136
[2020-06-16 10:04:32.191] spw 1 105 114 118
[2020-06-16 10:04:32.191] spw 1 105 115 136
[2020-06-16 10:04:32.207] spw 1 105 116 118
[2020-06-16 10:04:32.207] spw 1 105 117 131
[2020-06-16 10:04:32.207] spw 1 105 118 118
[2020-06-16 10:04:32.239] spw 1 105 119 131
[2020-06-16 10:04:32.239] spw 1 105 120 118
[2020-06-16 10:04:32.239] spw 1 105 121 141
[2020-06-16 10:04:32.239] spw 1 105 122 120
[2020-06-16 10:04:32.239] spw 1 105 123 141
[2020-06-16 10:04:32.239] spw 1 105 124 120
[2020-06-16 10:04:32.254] spw 1 105 125 141
[2020-06-16 10:04:32.254] spw 1 105 126 118
[2020-06-16 10:04:32.254] spw 1 105 127 146
[2020-06-16 10:04:32.270] spw 1 105 128 118
[2020-06-16 10:04:32.270] spw 1 105 129 151
[2020-06-16 10:04:32.270] spw 1 105 130 118
[2020-06-16 10:04:32.301] spw 1 105 131 150
[2020-06-16 10:04:32.301] spw 1 105 132 118
[2020-06-16 10:04:32.301] spw 1 105 133 144
[2020-06-16 10:04:32.301] spw 1 105 134 118
[2020-06-16 10:04:32.301] spw 1 105 135 119
[2020-06-16 10:04:32.316] spw 1 105 136 118
[2020-06-16 10:04:32.316] spw 1 105 137 119
[2020-06-16 10:04:32.316] spw 1 105 138 118
[2020-06-16 10:04:32.332] spw 1 105 139 151
[2020-06-16 10:04:32.332] spw 1 105 140 118
[2020-06-16 10:04:32.332] spw 1 105 141 151
[2020-06-16 10:04:32.332] spw 1 105 142 118
[2020-06-16 10:04:32.332] spw 1 105 143 133
[2020-06-16 10:04:32.332] spw 1 105 144 118
[2020-06-16 10:04:32.348] spw 1 105 145 151
[2020-06-16 10:04:32.348] spw 1 105 146 118
[2020-06-16 10:04:32.348] spw 1 105 147 151
[2020-06-16 10:04:32.363] spw 1 105 148 118
[2020-06-16 10:04:32.363] spw 1 105 149 145
[2020-06-16 10:04:32.363] spw 1 105 150 118
[2020-06-16 10:04:32.394] spw 1 105 151 136
[2020-06-16 10:04:32.394] spw 1 105 152 120
[2020-06-16 10:04:32.394] spw 1 105 153 141
[2020-06-16 10:04:32.394] spw 1 105 154 120
[2020-06-16 10:04:32.394] spw 1 105 155 146
[2020-06-16 10:04:32.410] spw 1 105 156 120
[2020-06-16 10:04:32.410] spw 1 105 157 151
[2020-06-16 10:04:32.410] spw 1 105 158 118
[2020-06-16 10:04:32.441] spw 1 105 159 131
[2020-06-16 10:04:32.441] spw 1 105 160 118
[2020-06-16 10:04:32.441] spw 1 105 161 136
[2020-06-16 10:04:32.441] spw 1 105 162 118
[2020-06-16 10:04:32.441] spw 1 105 163 145
[2020-06-16 10:04:32.441] spw 1 105 164 118
[2020-06-16 10:04:32.457] spw 1 105 165 136
[2020-06-16 10:04:32.457] spw 1 105 166 120
[2020-06-16 10:04:32.457] spw 1 105 167 141
[2020-06-16 10:04:32.473] spw 1 105 168 120
[2020-06-16 10:04:32.473] spw 1 105 169 146
[2020-06-16 10:04:32.473] spw 1 105 170 120
[2020-06-16 10:04:32.504] spw 1 105 171 151
[2020-06-16 10:04:32.504] spw 1 105 172 118
[2020-06-16 10:04:32.504] spw 1 105 173 131
[2020-06-16 10:04:32.504] spw 1 105 174 118
[2020-06-16 10:04:32.504] spw 1 105 175 136
[2020-06-16 10:04:32.520] spw 1 105 176 118
[2020-06-16 10:04:32.520] spw 1 107 001 90
[2020-06-16 10:04:32.520] spw 1 107 003 90
[2020-06-16 10:04:32.535] spw 1 107 005 60
[2020-06-16 10:04:32.535] spw 1 107 007 123
[2020-06-16 10:04:32.535] spw 1 107 008 120
[2020-06-16 10:04:32.551] spw 1 107 011 0
[2020-06-16 10:04:32.551] spw 1 108 001 132
[2020-06-16 10:04:32.551] spw 1 108 002 120
[2020-06-16 10:04:32.551] spw 1 108 011 114
[2020-06-16 10:04:32.551] spw 1 108 012 120
[2020-06-16 10:04:32.551] spw 1 109 001 0
[2020-06-16 10:04:32.566] spw 1 111 001 15
[2020-06-16 10:04:32.566] spw 1 111 002 30
[2020-06-16 10:04:32.566] spw 1 111 003 6
[2020-06-16 10:04:32.582] spw 1 111 004 0
[2020-06-16 10:04:32.582] spw 1 111 005 60
[2020-06-16 10:04:32.582] spw 1 111 006 0
[2020-06-16 10:04:32.613] spw 1 111 007 70
[2020-06-16 10:04:32.613] spw 1 111 008 0
[2020-06-16 10:04:32.613] spw 1 111 011 23
[2020-06-16 10:04:32.613] spw 1 112 001 0
[2020-06-16 10:04:32.613] spw 1 112 002 -15
[2020-06-16 10:04:32.613] spw 1 113 001 0
[2020-06-16 10:04:32.613] spw 1 113 002 1
[2020-06-16 10:04:32.629] spw 1 113 003 65
[2020-06-16 10:04:32.629] spw 1 113 004 60
[2020-06-16 10:04:32.644] spw 1 113 005 50
[2020-06-16 10:04:32.644] spw 1 113 006 50
[2020-06-16 10:04:32.644] spw 1 113 007 40
[2020-06-16 10:04:32.676] spw 1 113 008 80
[2020-06-16 10:04:32.676] spw 1 113 009 65
[2020-06-16 10:04:32.676] spw 1 113 010 80
[2020-06-16 10:04:32.676] spw 1 113 011 65
[2020-06-16 10:04:32.676] spw 1 114 001 80
[2020-06-16 10:04:32.676] spw 1 114 002 0
[2020-06-16 10:04:32.676] spw 1 114 003 60
[2020-06-16 10:04:32.691] spw 1 114 004 40
[2020-06-16 10:04:32.691] spw 1 115 001 0
[2020-06-16 10:04:32.707] spw 1 116 001 2
[2020-06-16 10:04:32.707] spw 1 116 002 97
[2020-06-16 10:04:32.707] spw 1 116 003 0
[2020-06-16 10:04:32.739] spw 1 116 011 10
[2020-06-16 10:04:32.739] spw 1 116 012 10
[2020-06-16 10:04:32.739] spw 1 116 021 3590
[2020-06-16 10:04:32.739] spw 1 116 022 1320
[2020-06-16 10:04:32.739] spw 1 116 023 3590
[2020-06-16 10:04:32.739] spw 1 116 024 1320
[2020-06-16 10:04:32.754] spw 1 116 025 7180
[2020-06-16 10:04:32.754] spw 1 116 026 2640
[2020-06-16 10:04:32.754] spw 1 116 031 3590
[2020-06-16 10:04:32.785] spw 1 116 032 1320
[2020-06-16 10:04:32.785] spw 1 116 033 3590
[2020-06-16 10:04:32.785] spw 1 116 034 1320
[2020-06-16 10:04:32.785] spw 1 116 035 7180
[2020-06-16 10:04:32.785] spw 1 116 036 2640
[2020-06-16 10:04:32.785] spw 1 116 041 86
[2020-06-16 10:04:32.801] spw 1 116 042 0
[2020-06-16 10:04:32.801] spw 1 116 043 4
[2020-06-16 10:04:32.801] spw 1 116 044 70
[2020-06-16 10:04:32.817] spw 1 116 045 -1
[2020-06-16 10:04:32.817] spw 1 116 046 0
[2020-06-16 10:04:32.817] spw 1 116 051 -30
[2020-06-16 10:04:32.832] spw 1 116 052 -40
[2020-06-16 10:04:32.832] spw 1 116 053 -40
[2020-06-16 10:04:32.832] spw 1 116 054 -50
[2020-06-16 10:04:32.832] spw 1 116 073 0
[2020-06-16 10:04:32.832] spw 1 116 074 20
[2020-06-16 10:04:32.832] spw 1 117 001 0
[2020-06-16 10:04:32.848] spw 1 117 002 4
[2020-06-16 10:04:32.848] spw 1 117 003 0
[2020-06-16 10:04:32.863] spw 1 117 004 5
[2020-06-16 10:04:32.863] spw 1 117 005 0
[2020-06-16 10:04:32.863] spw 1 117 006 0
[2020-06-16 10:04:32.894] spw 1 117 007 0
[2020-06-16 10:04:32.894] spw 1 117 008 0
[2020-06-16 10:04:32.894] spw 1 117 009 0
[2020-06-16 10:04:32.894] spw 1 117 011 0
[2020-06-16 10:04:32.894] spw 1 117 012 0
[2020-06-16 10:04:32.894] spw 1 117 013 0
[2020-06-16 10:04:32.894] spw 1 117 014 0
[2020-06-16 10:04:32.910] spw 1 117 015 0
[2020-06-16 10:04:32.910] spw 1 117 016 0
[2020-06-16 10:04:32.926] spw 1 117 017 0
[2020-06-16 10:04:32.926] spw 1 117 018 0
[2020-06-16 10:04:32.926] spw 1 117 019 0
[2020-06-16 10:04:32.957] spw 1 117 021 0
[2020-06-16 10:04:32.957] spw 1 117 022 10
[2020-06-16 10:04:32.957] spw 1 117 023 0
[2020-06-16 10:04:32.957] spw 1 117 024 25
[2020-06-16 10:04:32.957] spw 1 117 025 0
[2020-06-16 10:04:32.957] spw 1 117 026 25
[2020-06-16 10:04:32.957] spw 1 117 027 0
[2020-06-16 10:04:32.972] spw 1 117 028 0
[2020-06-16 10:04:32.972] spw 1 117 029 25
[2020-06-16 10:04:32.988] spw 1 117 031 0
[2020-06-16 10:04:32.988] spw 1 117 032 0
